code_name,Project
446,TOROS (TINTO AND ODIEL RIVER OCEAN STUDY)
333,TOURBILLON (FRENCH)
410,TRANS-ATLANTIC STUDY OF CALANUS (TASC)
172,TRANSIENT TRACERS IN THE OCEAN (TTO) 
128,TRANSPAC
463,TRITON (TRIANGLE TRANS-OCEAN BUOY NETWORK)
474,TROPAC (TROPICAL PACIFIC)
502,TROPAT (UNTERSUNCHUNGEN ZU ZIRKULATION UND WASSERMASSEN-ANOMALIEN MIT ...)
122,TROPICAL ATLANTIC STUDY OF TRANSIENT TRACERS IN THE OCEAN
294,TUFT POINT FIS
355,TUVAS
417,Tropical Atmosphere Ocean (TAO) BUOY ARRAY
514,U.S. ARGO PROJECT
527,U.S. CLIMATE VARIABILITY AND PREDICTABILITY (CLIVAR) 
367,U.S. GLOBEC GEORGES BANK PROGRAM
129,US-USSR WEDDELL POLYNYA EXPEDITION
427,US/CHINESE SHIP-OF-OPPORTUNITY SAMPLING PROGRAM
183,US/PRC COOPERATIVE STUDY
240,USAP or USARP (UNITED STATES ANTARCTIC RESEARCH PROJECT)
27,VAMP
222,VENTS PROGRAM (VENTS)
113,WARM CORE RINGS
494,WECCON (WEDDELL SEA CONVECTION CONTROL)
512,WEN (WASSERMASSEN IM EUROPAISCHES NORDMEER)
176,WEPOCS(WESTERN EQUATORIAL PACIFIC OCEAN CIRCULATION STUDY)
320,WESTPAC
225,WOCE (WORLD OCEAN CIRCULATION EXPERIMENT)
539,WOCE CONFLUENCE
582,WOCE GUYANE
583,WOCE/CITHER
584,WOCE/ROMANCHE
190,WORLD CLIMATE RESEARCH PROGRAM
296,YMER'80
356,ZISCH
