code_name,Project
464,SOUTHERN OCEAN IRON ENRICHMENT EXPERIMENT (SOIREE)
459,SOUTHERN OCEAN TRANSECT BETWEEN TASMANIA & ANTARCTICA (SURVOSTRAL)
458,SOVIET ANTARCTIC EXPEDITION (SAE)
448,SPANISH ANTARCTIC RESEARCH PROGRAM
477,SPECIAL RESEARCH RANGE 460 DYNAMICS THERMOHALINER CIRCULATION FLUC (SFB460)
248,STATION "S"
508,STELLER SEA LION RESEARCH
250,STRAITS OF HORMUZ
397,SUBARCTIC GYRE EXPERIMENT IN NORTH PACIFIC OCEAN (1997 - 2001) (SAGE)
251,SUBDUCTION EXPERIMENT
234,SUBSEABED DISPOSAL PROJECT
116,SUBTROPICAL ATLANTIC CLIMATE STUDY (STACS)
194,SUPER(SUB ARCTIC PACIFIC ECOSYSTEM RESEARCH) 
462,SURFACE HEAT ENERGY BUDGET OF THE ARCTIC (SHEBA)
331,SURTROPAC (SURFACE TROPICAL PACIFIC - FR)
469,SURVEY OF DEEP-WATER CURRENTS IN THE EASTERN GULF OF MEXICO
341,SUZAN (FRENCH)
340,SUZIL (FRENCH)
232,SYNOPTIC OCEAN PREDICTION (SYNOP)
175,TAG(TRANS-ATLANTIC GEOTRAVERSE)
417,TAO BUOY ARRAY
168,TOGA(TROPICAL OCEAN GLOBAL ATMOSPHERE)
332,TOPOGULF (FRENCH)
446,TOROS (TINTO AND ODIEL RIVER OCEAN STUDY)
333,TOURBILLON (FRENCH)
382,TRANS ALASKA PIPELINE STUDY
410,TRANS-ATLANTIC STUDY OF CALANUS (TASC)
172,TRANSIENT TRACERS IN THE OCEAN (TTO) 
128,TRANSPAC
463,TRITON (TRIANGLE TRANS-OCEAN BUOY NETWORK)
474,TROPAC (TROPICAL PACIFIC)
502,TROPAT (UNTERSUNCHUNGEN ZU ZIRKULATION UND WASSERMASSEN-ANOMALIEN MIT ...)
191,TROPIC HEAT
122,TROPICAL ATLANTIC STUDY OF TRANSIENT TRACERS IN THE OCEAN
231,TROPICAL INSTABILITY WAVE EXPERIMENT (TIWE)
294,TUFT POINT FIS
355,TUVAS
514,U.S. ARGO PROJECT
129,US-USSR WEDDELL POLYNYA EXPEDITION
427,US/CHINESE SHIP-OF-OPPORTUNITY SAMPLING PROGRAM
183,US/PRC COOPERATIVE STUDY
240,USAP or USARP (UNITED STATES ANTARCTIC RESEARCH PROJECT)
27,VAMP
222,VENTS PROGRAM (VENTS)
113,WARM CORE RINGS
494,WECCON (WEDDELL SEA CONVECTION CONTROL)
512,WEN (WASSERMASSEN IM EUROPAISCHES NORDMEER)
176,WEPOCS(WESTERN EQUATORIAL PACIFIC OCEAN CIRCULATION STUDY)
480,WEST COAST OBSERVATION SYSTEM (WCOS) 
482,WEST HAWAII AQUARIUM PROJECT (WHAP)
309,WESTERN GULF OF MAINE RED TIDE SURVEY
320,WESTPAC
398,WESTPAC/ICER 
524,WILLAPA BAY OYSTER MONITORING
225,WOCE (WORLD OCEAN CIRCULATION EXPERIMENT)
190,WORLD CLIMATE RESEARCH PROGRAM
296,YMER'80
356,ZISCH
